,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259
debt,53.0,65.0,55.0,59.0,52.0,65.1,55.1,51.0,30.0,40.0,59.1,60.0,61.0,70.0,66.0,61.1,63.0,57.0,60.1,59.2,63.1,56.0,58.0,54.0,64.0,63.2,60.2,69.0,66.1,59.3,51.1,57.1,56.1,64.1,69.1,88.0,93.0,71.0,55.2,53.1,50.0,51.2,50.1,50.2,44.0,51.3,51.4,49.0,51.5,53.2,55.3,53.3,53.4,55.4,52.1,52.2,52.3,51.6,52.4,49.1,33.0,35.0,60.3,59.4,62.0,63.3,60.4,61.2,100.0,72.0,65.2,64.2,63.4,54.1,54.2,63.5,60.5,60.6,62.1,56.2,60.7,63.6,60.8,54.3,60.9,55.5,62.2,54.4,56.3,56.4,52.5,52.6,54.5,49.2,50.3,52.7,49.3,54.6,58.1,57.2,61.3,60.1,59.5,57.3,57.4,56.5,61.4,61.5,70.1,60.11,58.2,55.6,42.0,32.0,59.6,68.0,69.2,69.3,67.0,66.2,63.7,63.8,64.3,69.4,64.4,64.5,66.3,61.6,53.5,62.3,66.4,63.9,73.0,74.0,63.1,69.5,75.0,62.4,58.3,64.6,64.7,62.5,62.6,66.5,60.12,55.7,58.4,61.7,53.6,61.8,58.5,61.9,61.1,62.7,61.11,64.8,60.13,61.12,60.14,60.15,61.13,59.7,58.6,49.4,45.0,35.1,54.7,64.9,67.1,66.6,64.1,63.11,62.8,67.2,52.8,63.12,66.7,63.13,55.8,54.8,60.16,65.3,62.9,63.14,55.9,59.8,60.17,69.6,66.8,66.9,56.6,54.9,55.1,54.1,72.1,56.7,62.1,60.18,60.19,63.15,59.9,63.16,64.11,65.4,66.1,67.3,62.11,64.12,68.1,70.2,65.5,67.4,63.17,62.12,62.13,60.2,52.9,36.0,55.11,73.1,71.1,69.7,66.11,72.2,68.2,64.13,67.5,66.12,65.6,71.2,66.13,69.8,67.6,57.5,61.14,65.7,60.21,65.8,67.7,56.8,65.9,62.14,64.14,61.15,65.1,64.15,66.14,59.1,63.18,59.11,65.11,64.16,62.15,65.12,66.15,60.22,68.3,64.17,75.1,68.4
dividend,39.0,37.0,40.0,41.0,34.0,40.0,31.0,36.0,24.0,27.0,51.0,49.0,47.0,50.0,41.0,43.0,45.0,69.0,60.0,44.0,51.0,45.0,45.0,44.0,44.0,41.0,45.0,45.0,50.0,57.0,42.0,37.0,38.0,33.0,31.0,32.0,100.0,53.0,44.0,53.0,45.0,47.0,40.0,41.0,37.0,42.0,36.0,39.0,44.0,47.0,39.0,39.0,44.0,42.0,44.0,43.0,43.0,44.0,42.0,40.0,30.0,30.0,52.0,55.0,57.0,58.0,50.0,51.0,54.0,68.0,65.0,60.0,62.0,47.0,59.0,62.0,61.0,55.0,55.0,46.0,52.0,61.0,55.0,36.0,34.0,33.0,35.0,47.0,42.0,43.0,41.0,53.0,46.0,48.0,43.0,39.0,39.0,41.0,40.0,44.0,43.0,43.0,39.0,38.0,39.0,44.0,44.0,47.0,45.0,46.0,50.0,48.0,38.0,28.0,51.0,58.0,55.0,55.0,56.0,50.0,52.0,65.0,57.0,81.0,60.0,57.0,58.0,63.0,47.0,45.0,56.0,55.0,62.0,65.0,50.0,51.0,44.0,40.0,41.0,41.0,41.0,38.0,43.0,49.0,52.0,52.0,43.0,44.0,40.0,47.0,44.0,48.0,45.0,50.0,45.0,46.0,46.0,46.0,52.0,46.0,52.0,48.0,46.0,44.0,44.0,32.0,51.0,66.0,59.0,58.0,61.0,48.0,45.0,64.0,44.0,52.0,55.0,52.0,49.0,57.0,54.0,54.0,57.0,52.0,54.0,61.0,61.0,50.0,51.0,38.0,43.0,41.0,38.0,38.0,42.0,44.0,61.0,52.0,51.0,42.0,49.0,48.0,44.0,48.0,49.0,46.0,45.0,41.0,45.0,54.0,50.0,44.0,43.0,42.0,41.0,42.0,38.0,27.0,43.0,57.0,60.0,58.0,58.0,51.0,57.0,69.0,58.0,58.0,58.0,59.0,60.0,64.0,63.0,55.0,51.0,58.0,58.0,64.0,60.0,46.0,50.0,52.0,50.0,45.0,48.0,49.0,45.0,45.0,60.0,52.0,51.0,45.0,49.0,52.0,63.0,50.0,50.0,46.0,46.0,49.0
earnings,58.0,58.0,55.0,58.0,54.0,54.0,53.0,52.0,39.0,49.0,63.0,63.0,67.0,77.0,67.0,59.0,56.0,67.0,65.0,62.0,60.0,61.0,54.0,66.0,68.0,75.0,78.0,72.0,67.0,59.0,54.0,55.0,54.0,53.0,58.0,61.0,75.0,71.0,71.0,65.0,59.0,62.0,55.0,52.0,47.0,53.0,50.0,51.0,54.0,57.0,60.0,61.0,69.0,61.0,57.0,56.0,58.0,54.0,52.0,59.0,50.0,47.0,60.0,74.0,74.0,81.0,72.0,67.0,60.0,64.0,63.0,64.0,65.0,62.0,62.0,67.0,80.0,71.0,73.0,64.0,59.0,60.0,61.0,53.0,55.0,54.0,47.0,64.0,67.0,68.0,65.0,78.0,64.0,61.0,58.0,56.0,45.0,52.0,54.0,54.0,64.0,57.0,61.0,68.0,71.0,67.0,59.0,69.0,69.0,67.0,62.0,60.0,52.0,52.0,63.0,79.0,80.0,80.0,76.0,68.0,66.0,71.0,66.0,70.0,65.0,62.0,63.0,74.0,72.0,69.0,91.0,86.0,75.0,74.0,61.0,58.0,56.0,55.0,59.0,63.0,66.0,74.0,100.0,85.0,76.0,69.0,57.0,71.0,70.0,57.0,57.0,60.0,58.0,59.0,59.0,63.0,79.0,76.0,66.0,73.0,66.0,61.0,61.0,56.0,58.0,52.0,67.0,71.0,73.0,83.0,95.0,70.0,67.0,72.0,59.0,63.0,67.0,63.0,65.0,71.0,82.0,75.0,92.0,85.0,71.0,66.0,63.0,55.0,60.0,56.0,54.0,55.0,56.0,62.0,75.0,80.0,79.0,63.0,63.0,65.0,59.0,60.0,62.0,57.0,72.0,63.0,64.0,75.0,84.0,81.0,68.0,63.0,58.0,64.0,65.0,63.0,67.0,49.0,59.0,75.0,76.0,77.0,83.0,72.0,73.0,66.0,70.0,76.0,60.0,74.0,67.0,75.0,74.0,75.0,87.0,91.0,73.0,69.0,66.0,62.0,63.0,62.0,61.0,63.0,70.0,80.0,82.0,85.0,76.0,63.0,61.0,59.0,64.0,64.0,59.0,57.0,62.0,62.0,57.0,72.0
inflation,51.0,66.0,73.0,76.0,66.0,67.0,64.0,67.0,33.0,38.0,69.0,100.0,80.0,65.0,69.0,86.0,75.0,76.0,73.0,72.0,78.0,88.0,51.0,54.0,73.0,66.0,68.0,55.0,70.0,98.0,44.0,47.0,49.0,58.0,45.0,41.0,48.0,47.0,42.0,41.0,45.0,41.0,47.0,37.0,45.0,51.0,59.0,57.0,56.0,56.0,65.0,60.0,45.0,65.0,65.0,67.0,66.0,63.0,61.0,61.0,37.0,35.0,56.0,59.0,68.0,62.0,60.0,61.0,55.0,68.0,69.0,67.0,77.0,53.0,46.0,52.0,65.0,66.0,67.0,61.0,62.0,67.0,59.0,41.0,45.0,45.0,57.0,47.0,41.0,42.0,46.0,38.0,46.0,39.0,47.0,38.0,37.0,46.0,53.0,49.0,51.0,60.0,73.0,92.0,51.0,83.0,62.0,70.0,62.0,61.0,61.0,67.0,48.0,33.0,59.0,65.0,84.0,64.0,69.0,64.0,78.0,64.0,69.0,78.0,75.0,95.0,74.0,59.0,66.0,59.0,70.0,66.0,71.0,80.0,58.0,53.0,56.0,81.0,55.0,53.0,55.0,53.0,70.0,50.0,52.0,49.0,55.0,39.0,44.0,55.0,88.0,57.0,57.0,61.0,61.0,100.0,63.0,75.0,67.0,78.0,70.0,69.0,62.0,83.0,57.0,39.0,60.0,70.0,79.0,65.0,68.0,72.0,79.0,69.0,59.0,74.0,76.0,90.0,64.0,61.0,63.0,88.0,69.0,69.0,66.0,69.0,66.0,49.0,58.0,61.0,53.0,47.0,44.0,44.0,52.0,54.0,51.0,49.0,63.0,54.0,52.0,56.0,60.0,68.0,59.0,63.0,59.0,74.0,50.0,64.0,60.0,60.0,60.0,60.0,63.0,61.0,59.0,37.0,54.0,63.0,70.0,70.0,61.0,64.0,76.0,66.0,62.0,66.0,72.0,75.0,72.0,67.0,61.0,58.0,61.0,68.0,61.0,62.0,66.0,53.0,55.0,54.0,53.0,51.0,52.0,52.0,55.0,53.0,53.0,50.0,57.0,52.0,45.0,54.0,58.0,59.0,51.0,57.0,56.0,70.0
markets,65.0,74.0,86.0,91.0,84.0,77.0,67.0,60.0,32.0,24.0,27.0,30.0,29.0,29.0,28.0,29.0,29.0,29.0,28.0,31.0,27.0,29.0,29.0,32.0,31.0,31.0,30.0,31.0,31.0,31.0,33.0,31.0,31.0,30.0,31.0,32.0,38.0,32.0,34.0,37.0,36.0,38.0,42.0,50.0,45.0,45.0,47.0,49.0,55.0,56.0,60.0,59.0,64.0,73.0,79.0,85.0,89.0,79.0,73.0,71.0,45.0,25.0,32.0,32.0,36.0,33.0,34.0,35.0,35.0,33.0,31.0,30.0,34.0,32.0,30.0,32.0,32.0,32.0,32.0,35.0,34.0,34.0,32.0,34.0,30.0,30.0,66.0,58.0,36.0,37.0,35.0,34.0,35.0,34.0,34.0,38.0,41.0,45.0,47.0,48.0,51.0,60.0,63.0,66.0,65.0,70.0,100.0,91.0,89.0,93.0,83.0,72.0,67.0,21.0,27.0,27.0,28.0,27.0,28.0,28.0,30.0,28.0,30.0,30.0,29.0,29.0,30.0,30.0,31.0,34.0,31.0,33.0,29.0,29.0,29.0,32.0,30.0,30.0,29.0,31.0,30.0,32.0,31.0,33.0,37.0,37.0,38.0,37.0,39.0,44.0,46.0,49.0,50.0,49.0,53.0,51.0,53.0,59.0,74.0,80.0,82.0,88.0,80.0,62.0,57.0,24.0,27.0,30.0,29.0,27.0,30.0,38.0,28.0,29.0,24.0,28.0,29.0,28.0,31.0,31.0,30.0,28.0,30.0,33.0,31.0,28.0,31.0,32.0,31.0,28.0,29.0,28.0,28.0,29.0,33.0,33.0,36.0,38.0,42.0,42.0,43.0,45.0,51.0,50.0,51.0,54.0,60.0,61.0,63.0,67.0,83.0,92.0,96.0,96.0,90.0,82.0,66.0,34.0,26.0,29.0,30.0,28.0,26.0,28.0,28.0,28.0,27.0,27.0,27.0,29.0,28.0,27.0,30.0,29.0,31.0,30.0,32.0,30.0,31.0,30.0,30.0,29.0,30.0,31.0,32.0,30.0,30.0,32.0,34.0,35.0,42.0,38.0,40.0,44.0,50.0,47.0,49.0,55.0,60.0,64.0
bonds,29.0,61.0,28.0,28.0,25.0,52.0,38.0,32.0,23.0,47.0,73.0,100.0,67.0,44.0,67.0,58.0,39.0,38.0,67.0,36.0,36.0,33.0,49.0,38.0,32.0,31.0,38.0,52.0,37.0,27.0,25.0,46.0,27.0,23.0,24.0,42.0,30.0,26.0,24.0,26.0,52.0,26.0,23.0,23.0,43.0,31.0,30.0,29.0,41.0,39.0,30.0,30.0,30.0,56.0,31.0,28.0,26.0,45.0,30.0,27.0,21.0,30.0,62.0,32.0,31.0,29.0,46.0,29.0,26.0,26.0,46.0,29.0,25.0,22.0,32.0,37.0,27.0,25.0,26.0,53.0,30.0,25.0,23.0,38.0,25.0,22.0,20.0,30.0,32.0,22.0,20.0,21.0,46.0,24.0,21.0,20.0,34.0,30.0,27.0,26.0,31.0,57.0,30.0,30.0,26.0,53.0,29.0,29.0,26.0,40.0,29.0,24.0,19.0,19.0,58.0,29.0,28.0,27.0,44.0,30.0,26.0,26.0,42.0,29.0,26.0,25.0,28.0,54.0,25.0,22.0,25.0,44.0,26.0,24.0,21.0,35.0,25.0,22.0,20.0,24.0,49.0,22.0,21.0,22.0,42.0,25.0,23.0,21.0,28.0,33.0,26.0,26.0,27.0,51.0,30.0,26.0,25.0,45.0,33.0,29.0,26.0,38.0,35.0,24.0,20.0,19.0,53.0,32.0,33.0,30.0,45.0,35.0,26.0,24.0,38.0,31.0,24.0,24.0,24.0,54.0,25.0,22.0,23.0,44.0,24.0,23.0,22.0,30.0,29.0,22.0,20.0,19.0,43.0,20.0,20.0,19.0,38.0,23.0,23.0,22.0,24.0,51.0,26.0,24.0,29.0,46.0,28.0,28.0,25.0,43.0,31.0,27.0,24.0,28.0,51.0,24.0,21.0,20.0,48.0,30.0,28.0,28.0,37.0,39.0,26.0,26.0,46.0,41.0,26.0,26.0,25.0,40.0,25.0,20.0,23.0,41.0,27.0,24.0,22.0,25.0,51.0,23.0,20.0,21.0,39.0,24.0,21.0,18.0,36.0,25.0,23.0,22.0,24.0,47.0,27.0,26.0,25.0,44.0,29.0,27.0
FTSE,8.0,8.0,7.0,7.0,8.0,8.0,9.0,10.0,5.0,6.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,10.0,7.0,8.0,8.0,7.0,7.0,9.0,8.0,7.0,6.0,7.0,7.0,8.0,8.0,10.0,12.0,9.0,7.0,8.0,7.0,8.0,10.0,22.0,10.0,9.0,8.0,11.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0,9.0,7.0,14.0,15.0,22.0,17.0,16.0,23.0,20.0,19.0,19.0,17.0,15.0,14.0,13.0,13.0,14.0,15.0,13.0,11.0,12.0,12.0,12.0,11.0,13.0,17.0,81.0,100.0,43.0,40.0,29.0,24.0,23.0,23.0,20.0,19.0,17.0,18.0,18.0,18.0,18.0,24.0,22.0,18.0,18.0,18.0,30.0,19.0,17.0,16.0,17.0,18.0,18.0,13.0,18.0,22.0,23.0,19.0,17.0,18.0,17.0,17.0,19.0,17.0,19.0,19.0,20.0,17.0,15.0,18.0,19.0,13.0,18.0,20.0,19.0,15.0,21.0,18.0,17.0,19.0,16.0,15.0,16.0,18.0,18.0,18.0,18.0,18.0,16.0,18.0,17.0,17.0,16.0,17.0,16.0,17.0,16.0,19.0,17.0,17.0,15.0,17.0,18.0,18.0,20.0,12.0,17.0,21.0,19.0,18.0,18.0,42.0,29.0,23.0,20.0,21.0,20.0,23.0,22.0,20.0,23.0,24.0,24.0,25.0,22.0,25.0,27.0,23.0,24.0,24.0,23.0,25.0,22.0,24.0,23.0,23.0,23.0,25.0,24.0,22.0,18.0,21.0,21.0,21.0,21.0,20.0,29.0,28.0,30.0,31.0,27.0,29.0,26.0,27.0,33.0,35.0,31.0,22.0,26.0,33.0,32.0,29.0,29.0,31.0,32.0,30.0,29.0,27.0,30.0,31.0,31.0,32.0,30.0,25.0,23.0,25.0,22.0,26.0,25.0,20.0,24.0,25.0,25.0,24.0,29.0,24.0,25.0,28.0,30.0,33.0,33.0,29.0,25.0,30.0,26.0,23.0,24.0,29.0,27.0,30.0
financial markets,24.0,22.0,26.0,21.0,21.0,21.0,25.0,17.0,14.0,14.0,20.0,17.0,24.0,22.0,25.0,19.0,19.0,22.0,21.0,23.0,22.0,16.0,17.0,14.0,21.0,22.0,25.0,17.0,23.0,15.0,17.0,16.0,19.0,18.0,16.0,20.0,17.0,18.0,13.0,16.0,14.0,14.0,14.0,19.0,14.0,18.0,18.0,22.0,23.0,21.0,22.0,22.0,25.0,20.0,24.0,22.0,18.0,19.0,22.0,16.0,14.0,8.0,16.0,20.0,29.0,27.0,31.0,28.0,22.0,21.0,19.0,22.0,24.0,21.0,17.0,16.0,21.0,20.0,20.0,24.0,18.0,17.0,19.0,19.0,20.0,19.0,100.0,64.0,24.0,26.0,20.0,10.0,14.0,14.0,13.0,19.0,14.0,18.0,14.0,20.0,23.0,22.0,25.0,21.0,16.0,22.0,40.0,22.0,20.0,23.0,23.0,16.0,18.0,10.0,17.0,17.0,23.0,17.0,19.0,17.0,20.0,23.0,25.0,20.0,19.0,22.0,22.0,20.0,17.0,18.0,23.0,21.0,16.0,20.0,18.0,12.0,20.0,16.0,22.0,15.0,13.0,13.0,16.0,16.0,13.0,11.0,14.0,15.0,12.0,16.0,20.0,20.0,19.0,17.0,28.0,21.0,24.0,20.0,23.0,20.0,15.0,19.0,20.0,20.0,14.0,12.0,19.0,22.0,17.0,17.0,18.0,27.0,20.0,16.0,15.0,22.0,15.0,21.0,22.0,12.0,17.0,19.0,19.0,15.0,18.0,17.0,23.0,15.0,20.0,20.0,16.0,10.0,12.0,10.0,14.0,15.0,16.0,16.0,12.0,16.0,16.0,18.0,14.0,16.0,17.0,22.0,29.0,21.0,18.0,23.0,15.0,18.0,21.0,25.0,24.0,24.0,8.0,13.0,14.0,17.0,14.0,18.0,18.0,18.0,17.0,13.0,22.0,14.0,14.0,15.0,17.0,18.0,16.0,11.0,12.0,14.0,16.0,15.0,19.0,13.0,15.0,17.0,14.0,13.0,12.0,15.0,14.0,12.0,9.0,15.0,16.0,11.0,7.0,14.0,16.0,19.0,17.0,16.0,17.0,19.0
